Адрес организации,Номер телефона орагнизации,Номер дополнительного телефона орагнизации,email aдрес,Адрес сайта,Работает ли сайт?,title сайта организации,description сайта организации,keywords сайта организации,Cайт принадлежит организации?,Количество подписчиков Instagramm,Ссылки на соц. сети в Instagramm,Количество подписчиков VK,Ссылки на соц. сети в VK,Количество подписчиков youtube,Ссылки на соц. сети в youtube,id региона,Полное наименование об организации (по уставу),Краткое наименование организации,Дата создания организации,Юридическое лицо / Филиал,Общее количество сотрудников,Субъект РФ,Тип организации,Количество занимающихся детей,Количество занимающихся детей художественной направленностью,Количество занимающихся детей естественно-научной направленностью,Количество занимающихся детей технической направленностью,Количество занимающихся детей социально-педагогической направленностью,Количество занимающихся детей физкультурно-спортивной направленностью,Количество занимающихся детей туристической направленностью,Количество занимающихся детей интеллектуально игровой направленностью,Фактическая наполняемость,Количество педагогов,Количество педагогов художественной направленности,Количество педагогов естественно-научной направленности,Количество педагогов технической направленности,Количество педагогов социально-педагогической направленности,Количество педагогов физкультурно-спортивной направленности,Количество педагогов туристической направленности,Количество педагогов интеллектуально игровой направленности,okfs,okopf,ogrn,inn,Номер бланка лицензии,Кем выдана лицензии,Cрок лицензии,id,Техническое,Естественнонаучная
"г. Санкт-Петербург, ул. Маршала Захарова, дом 52, лит. А, 198330",88127511717,Неизвестно,sch369@mail.ru,https://лицей369.рф.,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение лицей №369 Красносельского района Санкт-Петербурга,ГБОУ Лицей №369 Красносельского района Санкт-Петербурга,1984-09-01,Юридическое лицо,281,Санкт-Петербург,Общеобразовательная организация,1783,496,150,288,102,696,51,0,2007,43,10,6,5,5,15,2,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027804604695,7807026384,001321,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,6767,True,True
Неизвестно,83532365255,83532368989,dzerj-cdt@yandex.ru,http://www.orencdt.ru/,True,Cайт не работает или не существует,У сайта неизвестная кодировка,У сайта неизвестная кодировка,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,91,"Муниципальное  автономное учреждение дополнительного образования ""Центр детского творчества"" г. Оренбурга",МАУДО ЦДТ г. Оренбурга,Не известно,Юридическое лицо,187,Оренбургская область,Организация дополнительного образования,9610,4453,370,0,4430,267,90,0,9610,116,64,5,0,42,3,2,0,Государственная собственность,Муниципальные автономные учреждения,1025600887498,5609021863,56Л01 №0005461,Министерство образования Оренбургской области,Бессрочная,7444,False,True
"обл. Ульяновская, г. Димитровград, ул. Московская, 433000",88423550470,Неизвестно,shkola19@mail.ru,http://dim-school19.ru/,True,Главная,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,60,"Муниципальное автономное общеобразовательное учреждение ""Средняя школа № 19 имени Героя Советского Союза Ивана Петровича Мытарева города Димитровграда Ульяновской области""",МАОУ СШ № 19 им. И.П. Мытарева,1955-09-01,Юридическое лицо,136,Ульяновская область,Общеобразовательная организация,75,0,62,0,0,13,0,0,1606,5,0,4,0,0,1,0,0,Государственная собственность,Муниципальные автономные учреждения,1027300543600,7302013369,73Л01 000937,Министерство образования и науки Ульяновской области,Бессрочная,4214,False,True
"обл. Белгородская, г. Губкин, ул. Раевского, дом 3, 309190",824123612,Неизвестно,motorina.syn2012@yandex.ru,http://gubsun.ucoz.pl/,True,Официальный сайт - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,23,"Муниципальное бюджетное учреждение дополнительного образования ""Станция юных натуралистов"" города Губкина Белгородской области","МБУ ДО ""Станция юных натуралистов"" г. Губкина Белгородской области",1975-08-15,Юридическое лицо,12,Белгородская область,Организация дополнительного образования,522,84,438,0,0,0,0,0,522,12,2,10,0,0,0,0,0,Государственная собственность,Неизвестно,1023102263337,3127504318,6261,Департамент образования Белгородской области,Бессрочная,2528,False,True
"обл. Владимирская, г. Владимир, ул. Каманина, дом 30, 600009",84922530412,Неизвестно,katya_rich_91@mail.ru,http://kvantorium33.ru/,True,"Детский технопарк ""Кванториум-33""","Детский технопарк ""Кванториум-33"" приглашает школьников и студентов Владимирской области для участия в научно-исследовательских проектах по микроэлектронике, робототехнике, программированию, цифровому производству, 3D-моделированию, биотехнологиям, аэротехнологиям, лазерным технологиям и другим направлениям естественно-научной и инженерно-технической областей","кванториум-33, робототехника, биотехнологии, школьный технопарк, аэротехнологии, лазерные технологии, владимирский роботоцентр, центр образовательной робототехники, stem-образование, программирование, прототипирование, моделирование, цифровое производство",True,Нет аккаунта,Нет аккаунта,6464,"{'https://vk.com/rusedufund', 'https://vk.com/kvantorium33'}",Нет аккаунта,Нет аккаунта,25,Государственное автономное образовательное учреждение дополнительного профессионального образования Владимирской области «Владимирский институт развития образования имени Л.И. Новиковой Детский технопарк «Кванториум-33»,ГАОУ ДПО ВО «ВИРО» / Детский технопарк «КВАНТОРИУМ-33» г. Владимир,Не известно,Юридическое лицо,24,Владимирская область,Организация дополнительного образования,360,0,0,360,0,0,0,0,360,17,0,0,17,0,0,0,0,Государственная собственность,Государственные автономные учреждения субъектов Российской Федерации,1023301284467,3327101387,3548,Департамент образования администрации Владимирской области,Бессрочная,130,True,False
"обл. Воронежская, р-н. Нижнедевицкий, с. Нижнедевицк, ул. Братьев Серых, дом 4, 396870",84737051636,Неизвестно,Неизвестно,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,28,"Муниципальное казенное учреждение дополнительного образования ""Нижнедевицкий Дом пионеров и школьников""",МКУ ДО Нижнедевицкий Дом пионеров и школьников,1968-09-01,Юридическое лицо,29,Воронежская область,Организация дополнительного образования,735,372,46,102,77,100,38,0,Не известно,43,19,3,8,5,5,3,0,Государственная собственность,Неизвестно,1023601315429,3615003065,0000550,"Департамент образования, науки и молодежной политики",2020-05-25,752,True,True
"г. Санкт-Петербург, ул. Белградская, дом 20, кор. 2, лит. А, 192212",88127054753,Неизвестно,school213@edu-frn.spb.ru,http://213school.ru,True,Сайт ГБОУ средняя общеобразовательная школа №213 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №213 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №213 Фрунзенского района Санкт-Петербурга,1948-10-19,Юридическое лицо,96,Санкт-Петербург,Общеобразовательная организация,385,90,35,0,35,225,0,0,862,17,5,2,0,2,8,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027808013310,7816164119,78ЛО2 № 0001855,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3225,False,True
Неизвестно,83534220854,Неизвестно,cdod.obraz3@mail.ru,https://cod-vo.ucoz.net/,True,"МАУДО ЦДОД ""Содружество"" г. Бузулук - Главная страница",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,4030,"{'https://vk.com/summermixx', 'https://vk.com/doosozvezdie56', 'https://vk.com/fdo56'}",Нет аккаунта,Нет аккаунта,91,"Муниципальное автономное учреждение дополнительного образования города Бузулука ""Центр дополнительного образования для детей ""Содружество""","МАУДО ЦДОД ""Содружество""",2004-07-02,Юридическое лицо,40,Оренбургская область,Организация дополнительного образования,3075,270,525,1095,1020,0,165,0,3075,33,3,5,15,8,0,2,0,Государственная собственность,Муниципальные бюджетные учреждения,1045601153784,5603014323,56Л01 0005419,Министерство образования Оренбургской области,Бессрочная,7429,True,True
"обл. Тамбовская, г. Уварово, ул. Шоссейная, дом 1, 393460",84755842487,Неизвестно,elena.konnova12@yandex.ru,http://cdt-uvarovo.68edu.ru,True,"МБОО ДО ""Детский образовательно-оздоровительный Центр ""Кристалл""",%описание%,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,55,Муниципальная бюджетная образовательная организация дополнительного образования «Детский образовательно-оздоровительный Центр «Кристалл» г. Уварово,МБОО ДО ДООЦ Кристалл г. Уварово,1968-01-01,Юридическое лицо,37,Тамбовская область,Организация дополнительного образования,1081,725,70,79,67,17,123,0,150,24,11,1,2,4,1,5,0,Государственная собственность,Муниципальные бюджетные учреждения,1026800810387,6830002943,0000494,Управление образования и науки Тамбовской области,Бессрочная,1218,True,True
"обл. Томская, р-н. Кожевниковский, с. Кожевниково, ул. Ленина, дом 10, 636160",83824421992,Неизвестно,kogddt@inbox.ru,http://kogddt.3dn.ru,True,МКОУДО «ДДТ» - Главная страница,Не найдено,Не найдено,True,182,{'https://www.instagram.com/kogddt/'},Нет аккаунта,Нет аккаунта,210,{'http://www.youtube.com/user/KogDDT/videos?view=0&shelf_id=0&sort=dd'},57,"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Дом детского творчества"" с. Кожевниково","МБОУДО ""ДДТ"" с. Кожевниково",Не известно,Юридическое лицо,23,Томская область,Организация дополнительного образования,570,342,0,11,117,100,0,0,570,17,10,0,1,4,2,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1027003156180,7008005532,0000539,"Комитет по контролю, надзору и лицензированию в сфере образования Томской области",Бессрочная,2305,True,False
"обл. Челябинская, г. Карабаш, ул. Металлургов, дом 17, кор. 4, 456143",83515323342,Неизвестно,ddt-karabash@mail.ru,http://ddt-karabash-setup.ru/,True,Главная МКОУ ДОД ДДТ Карабаш,Дополнительное образование детей,Не найдено,True,Нет аккаунта,Нет аккаунта,459,{'https://vk.com/club131451133'},Нет аккаунта,Нет аккаунта,61,"Муниципальное казенное образовательное учреждение дополнительного образования ""Дом детского творчества"" г. Карабаша","МКОУ ДО ""ДДТ"" г. Карабаша",1948-10-22,Юридическое лицо,18,Челябинская область,Организация дополнительного образования,608,474,0,26,14,10,84,0,608,13,9,0,1,1,1,1,0,Государственная собственность,Муниципальные казенные учреждения,1027400684453,7406002139,0002611,Министерство образования и науки Челябинской области,Бессрочная,5155,True,False
"край. Красноярский, г. Красноярск, пр-кт. им газеты Красноярский Рабочий, дом 168а, 660093",3912364442,Неизвестно,cdt2@mail.ru,http://cdt2.ru,True,Главная страница,"Центр творческого образования ""Престиж"" Красноярск","Центр творческого образования ""Престиж"", дополнительное образование, курсы, дети, семинары, проекты, Красноярск",True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,16,"муниципальное автономное образовательное  учреждение  дополнительного образования ""Центр творческого образования ""Престиж"" г. Красноярск","МАОУ ДО ""ЦТО ""Престиж"" г. Красноярск",1956-05-19,Юридическое лицо,79,Красноярский край,Организация дополнительного образования,2308,846,0,79,1322,61,0,0,1982,42,18,0,5,17,2,0,0,Государственная собственность,Муниципальные автономные учреждения,1022402307190,2464035494,24Л01 №0001221,Министерство образования Красноярского края,Бессрочная,1199,True,False
"г. Санкт-Петербург, ул. Большая Пороховская, дом 52, лит. А, 195248",88124172571,Неизвестно,Неизвестно,http://int6.ru,True,Официальный сайт ГБОУ школы-интерната № 6 Красногвардейского района Санкт-Петербурга,Официальный сайт государственного бюджетного общеобразовательного учреждение школы-интерната № 6 Красногвардейского района Санкт-Петербурга,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,305,{'https://www.youtube.com/channel/UCs5vEkPpoh_xgD1sa5efYoA'},10,Государственное бюджетное общеобразовательное учреждение школа-интернат №6 Красногвардейского района Санкт-Петербурга,ГБОУ школа-интернат №6 Красногвардейского района Санкт-Петербурга,1959-09-01,Юридическое лицо,125,Санкт-Петербург,"Общеобразовательная организация, осуществляющая образовательную деятельность по адаптированным основным общеобразовательным программам",438,306,0,48,0,84,0,0,345,12,8,0,2,0,2,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027804187850,7806103974,№1963,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,2923,True,False
"край. Алтайский, р-н. Крутихинский, с. Крутиха, ул. Ленинградская, 658750",83858922157,Неизвестно,krutiha_duts@mail.ru,http://kduc.sibhost.ru,True,"МКУДО ""Крутихинский ДЮЦ"" - Главная","МКОУДОД ""Крутихинский Детско-юношеский центр"" Крутихинский район Алтайский край","Дети, объединения, секции, кружки, творчество",True,Нет аккаунта,Нет аккаунта,3,{'https://vk.com/public198005932'},Нет аккаунта,Нет аккаунта,15,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""КРУТИХИНСКИЙ ДЕТСКО-ЮНОШЕСКИЙ ЦЕНТР"" КРУТИХИНСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ","МКУДО ""КРУТИХИНСКИЙ ДЮЦ""",2001-07-05,Юридическое лицо,27,Алтайский край,Организация дополнительного образования,497,157,18,54,0,268,0,0,Не известно,21,8,1,2,0,10,0,0,Государственная собственность,Муниципальные казенные учреждения,1022202152488,2252003331,0002460,Министерство образования и науки Алтайского края,Бессрочная,5291,True,True
"г. Санкт-Петербург, пр-кт. Энтузиастов, дом 47, кор. 2, лит. А, 195030",88125201011,88124172616,zav195@mail.ru,https://www.школа195.рф,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №195 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа №195 Красногвардейского района Санкт-Петербурга,2003-09-01,Юридическое лицо,75,Санкт-Петербург,Общеобразовательная организация,489,173,54,0,39,223,0,0,650,14,5,1,0,2,6,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1037816029492,7806044327,№0001022,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,2933,False,True
"обл. Белгородская, р-н. Новооскольский, г. Новый Оскол, ул. Кирова, дом 5, 309640",84723347465,Неизвестно,modelkano@yandex.ru,http://sut.edunoskol.ru,True,Главная,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,23,"Муниципальное бюджетное учреждение дополнительного образования «Станция юных техников Новооскольского района Белгородской области""",МБУ ДО СЮТ г. Новый Оскол,1951-09-01,Юридическое лицо,19,Белгородская область,Организация дополнительного образования,376,47,0,290,39,0,0,0,376,16,4,0,10,2,0,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1023101036606,3114005858,31Л01№0000982,Департамент образованияБедгородской области,Бессрочная,2292,True,False
"г. Москва, б-р. Покровский, дом 10, лит. 1, 109028",74959178128,74959179013,cevdcao@edu.mos.ru,https://www.cevdcao.mskobr.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,64,"Государственное бюджетное образовательное учреждение дополнительного образования города Москвы ""Центр эстетического воспитания детей""",ГБОУДО ЦЭВД,1983-12-06,Юридическое лицо,23,Москва,Организация дополнительного образования,1427,641,0,112,394,175,105,0,Не известно,19,10,0,1,5,2,1,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1037739497399,7709366858,037450,Департамент образования города Москвы,Бессрочная,2601,True,False
"Респ. Крым, г. Алушта, ул. Перекопская, дом 1, 298510",79780977086,Неизвестно,cdut-alushta@mail.ru,https://cdt-alushta.crm.muzkult.ru/,True,Центр детского творчества города Алушты | Добро пожаловать!,Главная страница,Отсутсвует,True,Нет аккаунта,Нет аккаунта,1912,{'https://vk.com/cdt.alushta'},Нет аккаунта,Нет аккаунта,70,"Муниципальное образовательное учреждение дополнительного образования детей ""Центр детского творчества"" города Алушты",МОУДОД ЦДТ города Алушты,1970-09-01,Юридическое лицо,42,Республика Крым,Организация дополнительного образования,1086,556,0,224,206,100,0,0,1086,24,15,0,4,2,3,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1149102171679,9101005570,0000300,"Министерство образования, науки и молодежи Республики Крым",Бессрочная,3826,True,False
"г. Санкт-Петербург, г. Пушкин, ул. Набережная, дом 12/66, лит. А, 196601",88124662757,Неизвестно,info@cttit.ru,https://cttit.ru/,True,ЦДЮТТИТ - Главная,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,4263,"{'https://vk.com/away.php?to=http%3A%2F%2Freg.cttit.ru%2F&post=-42258342_9046&cc_key=', 'https://vk.com/cttit'}",324,{'https://www.youtube.com/channel/UCriHh-lnfJ-BZRhDLP6UjqA'},10,Государственное бюджетное  учреждение дополнительного образования Центр детско-юношеского технического творчества и информационных технологий Пушкинского района Санкт-Петербурга,ГБУ  ДО ЦДЮТТИТ  Пушкинского района Санкт-Петербурга,2011-11-15,Юридическое лицо,89,Санкт-Петербург,Организация дополнительного образования,3708,669,114,2083,797,0,45,0,3708,70,11,2,38,18,0,1,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1117847498273,7820326860,78Л02 № 0000738,"Правительство Санкт-Петербурга, Комитет по образованию",Бессрочная,380,True,True
"обл. Белгородская, г. Белгород, ул. 60 лет Октября, дом 4, 308036",84722218071,Неизвестно,zhuravleva-54@bk.ru,http://belsun.ru,True,"Главная - Муниципальное бюджетное учреждение дополнительного образования ""Станция юных натуралистов"" г.Белгорода",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,23,"Муниципальное бюджетное учреждение дополнительного образования ""Станция юных натуралистов"" г. Белгорода",МБУДО СЮН г. Белгород,1978-08-15,Юридическое лицо,29,Белгородская область,Организация дополнительного образования,958,289,669,0,0,0,0,0,958,20,5,15,0,0,0,0,0,Неизвестно,Неизвестно,1023101649922,3123030770,6400,Департамент образования Белгородской области,Бессрочная,2984,False,True
"обл. Ульяновская, р-н. Чердаклинский, п. Колхозный, ул. Центральная, 433410",88423147149,Неизвестно,volodarskaja@mail.ru,http://volodarskaja.ru,True,схема включения биполярного транзистора - volodarskaja.ru,Не найдено,Не найдено,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,60,Муниципальное казённое общеобразовательное учреждение Володарская средняя школа,МКОУ Володарская СШ,1990-09-01,Юридическое лицо,52,Ульяновская область,Общеобразовательная организация,208,15,22,21,60,45,45,0,208,13,1,1,1,4,3,3,0,Государственная собственность,Муниципальные казенные учреждения,1027301110540,7323004870,2506,Министерство образования и науки Ульяновской области,Бессрочная,3255,True,True
"край. Алтайский, п. ЗАТО Сибирский, ул. 40 лет РВСН, дом 15, 658076",83853250450,Неизвестно,rostoksib@yandex.ru,http://rostoksib.ru/,True,МБУДО ДЮЦ «Росток»,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,15,муниципальное бюджетное учреждение дополнительного образования «Детско-юношеский центр «Росток» п. ЗАТО Сибирский,"МБУДО  Детско-юношеский центр ""Росток""",Не известно,Юридическое лицо,Неизвестно,Алтайский край,Организация дополнительного образования,922,581,26,0,293,0,22,0,Не известно,19,9,1,0,8,0,1,0,Государственная собственность,Неизвестно,1022202734421,2291000398,№ 489,Главное управление образования и молодежной политики  Алтайского края,Бессрочная,5010,False,True
"обл. Челябинская, г. Челябинск, ул. Доватора, дом 15, 454092",83512372524,Неизвестно,maudod_ddt@mail.ru,https://дворецнадоватора.рф,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,61,"Муниципальное автономное учреждение дополнительного образования ""Дворец детского творчества г. Челябинска""","МАУДО ""ДДТ"" г. Челябинска",1976-11-15,Юридическое лицо,136,Челябинская область,Организация дополнительного образования,4119,2479,125,180,110,1075,150,0,4119,66,38,3,4,4,14,3,0,Государственная собственность,Муниципальные бюджетные учреждения,1027402907487,7451053632,0002402,Министерством образования и науки Челябинской области,Бессрочная,555,True,True
"Респ. Башкортостан, г. Уфа, р-н. Советский, 450000",3472722237,89183265445,ufa-debs@yandex.ru,https://www.ufa-debs.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,71,Муниципальное  бюджетное образовательное учреждение дополнительного образования  «Детский эколого-биологический центр» городского округа город Уфа Республики Башкортостан,МБОУ ДО ДЭБЦ г. Уфа,1987-11-06,Юридическое лицо,26,Республика Башкортостан,Организация дополнительного образования,1500,0,1500,0,0,0,0,0,1500,26,0,26,0,0,0,0,0,Государственная собственность,Неизвестно,1030204611161,0278045205,0005881,Управление по контролю и надзору в сфере образования Республики Башкортостан,2020-11-05,3592,False,True
"Респ. Коми, г. Сыктывкар, ул. Тентюковская, дом 89, 167011",8212514238,Неизвестно,orbitadeti@yandex.ru,https://cdod1orbita.ucoz.ru/,True,"Центр ""Орбита"" - Центр ""Орбита""",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,80,"Муниципальное учреждение дополнительного образования ""Центр дополнительного образования детей № 1 ""Орбита"" г. Сыктывкар","МУ ДО ЦДОД № 1 ""Орбита"" г. Сыктывкар",2007-08-07,Юридическое лицо,24,Республика Коми,Организация дополнительного образования,971,218,105,25,66,557,0,0,971,17,4,1,2,3,7,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1071101006987,1101486533,440 - У,Министерство образования Республики Коми,Бессрочная,4737,True,True
"г. Санкт-Петербург, ул. Оптиков, 190000",88125768327,Неизвестно,primschool-320@yandex.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 320 Приморского района Санкт-Петербурга,ГБОУ школа № 320 Приморского района Санкт-Петербурга,2009-09-01,Юридическое лицо,150,Санкт-Петербург,Общеобразовательная организация,965,194,90,84,114,483,0,0,1390,34,7,5,4,6,12,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1097847218468,7814443646,764,Правительство Санкт-Петербурга Комитет по образованию,2024-03-14,2991,True,True
Неизвестно,84867923850,Неизвестно,MDDT@yandex.ru,http://domtw.ucoz.ru,True,Персональный сайт - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,92,"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Малоархангельский районный Дом детского творчества""","МБОУ ДО ""Малоархангельский районный ДДТ""",1956-09-01,Юридическое лицо,19,Орловская область,Организация дополнительного образования,487,269,20,37,117,20,24,0,487,15,7,1,1,4,1,1,0,Государственная собственность,Муниципальные бюджетные учреждения,1025701455867,5716002174,0000183,Департамент образования Орловской области,Бессрочная,3313,True,True
"обл. Курская, г. Льгов, ул. Комсомольская, дом 49/77, 307750",84714022123,Неизвестно,ddtlgov2012@yandex.ru,http://lgov-ddt.ru/,True,Главная,сайт школы,сайт школы,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,38,"Муниципальное бюджетное учреждение дополнительного образования ""Дом детского творчества г. Льгова""","МБУДО ""Дом детского творчества г. Льгова""",2005-11-24,Юридическое лицо,Неизвестно,Курская область,Организация дополнительного образования,320,195,10,30,0,60,25,0,Не известно,11,6,1,1,0,1,2,0,Государственная собственность,Бюджетные учреждения,1064613003124,4613010848,46Л01№0000579,Комитет образования и науки Курской области,Бессрочная,4097,True,True
"обл. Саратовская, р-н. Вольский, тер. Барановское МО, 412976",88459365239,Неизвестно,ooshsbaranovka@yandex.ru,http://baranovka.edusite.ru,True,Новости,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,51,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа с. Барановка Вольского района Саратовской области""","МОУ ""ООШ с. Барановка""",1967-08-23,Юридическое лицо,22,Саратовская область,Общеобразовательная организация,123,0,36,0,0,87,0,0,89,4,0,2,0,0,2,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1036404101271,6441010282,0001792,Министерство образования Саратовской области,Бессрочная,1245,False,True
"обл. Пензенская, г. Пенза, ул. Герцена, 440061",88412943961,Неизвестно,srtd2@yandex.ru,https://crtdiu2.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,45,"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Центр развития творчества детей и юношества"" г. Пензы","МБОУДО ""ЦРТДиЮ""",1977-09-01,Юридическое лицо,56,Пензенская область,Организация дополнительного образования,2100,1013,0,71,486,530,0,0,2100,32,14,0,2,8,8,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1025801106649,5834009225,0000636,Министерство образования Пензенской области,Бессрочная,1453,True,False
"обл. Ивановская, р-н. Фурмановский, г. Фурманов, ул. Тимирязева, дом 32, 155523",84934125712,Неизвестно,cdt-f@mail.ru,https://portal.iv-edu.ru/dep/mouofurmn/cdt_furmn/information/uchreditelnie.aspx,True,"
	
	Домашняя 
	- 
	МАУ ДО Центр детского творчества г. Фурманова

",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,29,Муниципальное автономное учреждение дополнительного образования Центр детского творчества города Фурманова,МАУ ДО ЦДТ г. Фурманов,1991-07-29,Юридическое лицо,Неизвестно,Ивановская область,Организация дополнительного образования,2883,1870,16,287,302,408,0,0,2883,50,22,2,6,8,12,0,0,Государственная собственность,Неизвестно,1023701359021,3705004747,1555,Департамент образования Ивановской области,Бессрочная,5916,True,True
"обл. Томская, р-н. Колпашевский, г. Колпашево, ул. К.Маркса, дом 7, лит. 2, 636462",83825458235,Неизвестно,kolpdebz@mail.ru,http://kolpdebz.tom.ru,True,"Муниципальное бюджетное учреждение дополнительного образования ""Детский эколого-биологический центр"" г. Колпашево",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,57,"Муниципальное бюджетное учреждение дополнительного образования ""Детский эколого-биологический центр"" г. Колпашево","МБУ ДО ""ДЭБЦ"" г. Колпашево",2000-08-14,Юридическое лицо,20,Томская область,Организация дополнительного образования,577,60,517,0,0,0,0,0,Не известно,11,2,9,0,0,0,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1027003553940,7007005755,70Л01 № 0000503,"Комитет по контролю, надзору и лицензированию в сфере образования Томской области",Бессрочная,1850,False,True
